DataCategory,acc,f1,recall,precision,tp,fn,fp,tn,model_name,model_target
train,1.0,1.0,1.0,1.0,742,0,0,744,tree,y_weekday
test,0.5886970172684458,0.5969230769230769,0.5932721712538226,0.6006191950464397,194,133,129,181,tree,y_weekday
train,1.0,1.0,1.0,1.0,742,0,0,744,RandomForest,y_weekday
test,0.6216640502354788,0.6156299840510366,0.5902140672782875,0.6433333333333333,193,134,107,203,RandomForest,y_weekday
train,0.8156123822341858,0.8225388601036269,0.8557951482479784,0.7917705735660848,635,107,167,577,GradientBoosting,y_weekday
test,0.6248037676609105,0.6248037676609106,0.6085626911314985,0.6419354838709678,199,128,111,199,GradientBoosting,y_weekday
train,1.0,1.0,1.0,1.0,702,0,0,784,tree,y_weekend
test,0.783359497645212,0.775244299674267,0.7727272727272727,0.7777777777777778,238,70,68,261,tree,y_weekend
train,1.0,1.0,1.0,1.0,702,0,0,784,RandomForest,y_weekend
test,0.8414442700156985,0.8363047001620746,0.8376623376623377,0.8349514563106796,258,50,51,278,RandomForest,y_weekend
train,0.9172274562584118,0.9136842105263158,0.9273504273504274,0.9004149377593361,651,51,72,712,GradientBoosting,y_weekend
test,0.8571428571428571,0.8543999999999999,0.8668831168831169,0.8422712933753943,267,41,50,279,GradientBoosting,y_weekend
